1442073 5166.349737
2859483 9629.609192
4289006 13892.850839
5712405 18035.849847
7135170 22093.811639
8555795 26086.488600
9980421 30026.462880
11458973 33922.417449
12824734 37780.686507
14268059 41606.083651
15673297 45402.307996
17096339 49172.546167
18517222 52919.211821
19959041 56644.382324
21369644 60349.815613
22786432 64037.017426
24208432 67707.291056
25904281 71361.774923
27077270 75001.471470
28487257 78627.269730
50001 1436729 5166.349737
100001 2860806 9629.609192
150001 4320746 13892.850839
200001 5742221 18035.849847
250001 7161047 22093.811639
300001 8556649 26086.488600
350001 9981176 30026.462880
400001 11433716 33922.417449
450001 12829575 37780.686507
500001 14336739 41606.083651
550000 15686255 45402.307996
600000 17104592 49172.546167
650000 18649654 52919.211821
700000 19960072 56644.382324
750000 21423671 60349.815613
800000 22800528 64037.017426
850000 24270778 67707.291056
900000 25708596 71361.774923
950000 27085145 75001.471470
1000000 28561890 78627.269730
