#iteration,total [us],lodepng::decode [us],Create CUDA context [us],lodepng::encode [us],cudaMalloc [us],cudaMemcpyHostToDevice [us],invert_pixels [us],cudaMemcpyDeviceToHost [us],cudaFree [us]
1,150176,14897,57694,76923,151.552002,189.695999,40.192001,169.983994,100.575996
2,149179,14827,57141,76559,149.151993,186.656006,40.192001,164.671997,101.599998
3,149844,14846,57342,77001,149.024002,189.311996,40.192001,166.112000,100.320000
4,159521,20281,58199,80353,162.304001,197.024002,40.160000,167.520004,110.496002
5,155187,15325,58593,80573,165.727997,201.087997,40.223999,165.024002,112.543999
6,156375,19667,57775,78255,162.240005,194.624008,40.288002,162.208008,107.487999
7,155507,17360,57421,80058,158.335999,191.039993,40.192001,161.119995,105.919998
8,156724,19883,57746,78409,160.576004,191.967987,40.288002,174.784012,108.608002
9,153454,14673,61209,76929,149.216003,184.031998,40.192001,156.895996,102.944000
10,149974,14804,57421,77103,148.063995,185.472000,40.063999,163.167999,98.528000
11,150157,15210,57428,76870,149.279999,185.087997,40.256001,163.968002,100.000000
12,149548,14826,57433,76631,147.967987,189.183990,40.063999,163.839996,107.327995
13,151349,14817,59073,76808,148.255997,183.840012,40.256001,166.879990,102.208000
14,150002,15284,57483,76594,148.159988,181.472000,40.352001,161.632004,99.327995
15,149754,14896,57325,76891,145.536011,181.792007,39.903999,164.352005,99.968002
16,150153,14838,57584,77080,148.832001,184.479996,40.192001,167.232010,100.224007
17,150942,14952,58262,77084,151.871994,182.175995,40.256001,159.776001,99.455994
18,159814,15193,59634,84312,160.960007,189.855988,40.096001,164.352005,108.351997
19,153759,14678,57548,80851,176.704010,184.832001,40.223999,164.544006,104.928001
20,152221,17480,57657,76441,146.431992,181.567993,40.927998,162.912003,101.216003
21,150803,15200,58275,76675,149.727997,184.159988,40.672001,166.367996,102.048004
22,154807,14798,60582,78528,216.575989,271.488007,40.223999,211.007996,145.279999
23,151456,17010,57174,76614,149.024002,188.576004,40.000000,169.184006,100.288002
24,155207,16324,57038,81189,147.072006,188.096008,40.031998,168.671997,100.736000
25,151555,15009,57456,78367,165.951996,202.559998,40.063999,174.592010,129.216003
26,157644,18314,56990,81675,152.319992,194.080002,40.063999,168.671997,100.000000
27,150922,16295,57358,76597,148.767990,187.584000,40.000000,183.360001,101.984001
28,150930,16817,57049,76411,148.095993,188.768005,40.000000,167.552002,98.528000
29,150600,16308,57147,76451,172.192001,187.904007,40.383999,181.792007,103.615997
30,156310,17230,57052,81362,149.823990,192.543991,40.672001,171.872009,101.472000
31,152368,17965,57216,76530,149.056000,188.223999,40.127998,167.040009,103.104004
32,149993,14815,57773,76739,157.248001,189.375992,40.127998,166.912003,101.695999
33,149938,14850,57842,76590,150.751999,186.591995,40.063999,166.399994,102.112000
34,155012,16324,57157,80822,147.712006,187.712006,40.160000,202.783997,120.096001
35,150487,15006,57142,77656,171.008011,190.367996,40.096001,165.631989,104.959999
36,155285,17377,57660,79579,159.839996,190.880005,40.223999,161.888000,106.112000
37,157386,16988,57650,82099,144.895996,189.888000,39.935997,165.151993,99.200005
38,155124,17341,57522,79593,158.207993,191.423996,40.127998,161.183990,106.751999
39,161069,21600,57466,81361,146.335999,184.704010,40.127998,160.255997,100.575996
40,151454,16969,57386,76451,148.543991,183.871994,40.288002,161.824005,102.944000
41,157122,16732,58836,80904,148.416000,186.783997,40.031998,162.912003,101.568001
42,154605,14982,57681,81274,160.223999,188.223999,39.712002,161.599991,107.872002
43,149194,14847,57237,76457,149.600006,187.647995,40.223999,164.160004,101.216003
44,149657,14800,57689,76520,148.255997,183.167999,40.000000,163.776001,102.495995
45,148955,14745,57063,76483,148.543991,188.000000,40.800003,168.416000,107.456001
46,149540,14869,57115,76904,148.447998,184.128006,40.160000,168.255997,101.056000
47,149227,14788,57311,76474,149.759995,184.031998,40.063999,165.759995,103.903999
48,164503,14843,57258,91753,150.432007,185.472000,40.256001,161.824005,100.671997
49,158730,20130,57778,80144,161.472000,193.376007,40.288002,165.279999,107.040001
50,154005,17052,57618,78668,158.848007,187.296005,40.288002,162.080002,106.559998
