#iteration,cudaMalloc [us],cudaMemcpyHostToDevice [us],invert_pixels [us],cudaMemcpyDeviceToHost [us],cudaFree [us]
1,141.791992,180.608002,19.584000,165.439987,99.008003
2,146.975998,185.119995,19.648001,165.984009,99.615997
3,142.015991,184.735992,19.424002,160.000000,97.407997
4,140.863998,178.463989,19.200001,160.607986,127.552002
5,143.296005,179.711990,19.392000,161.183990,98.015999
6,165.727997,202.687988,19.616001,168.543991,108.639999
7,175.871994,215.264008,20.223999,178.944000,120.159996
8,206.432007,248.352005,21.120001,200.352005,136.991989
9,143.071991,176.704010,19.392000,162.912003,98.431999
10,142.367996,182.431992,19.616001,167.520004,98.559998
11,142.879990,186.304001,19.520000,167.615997,99.104004
12,147.264008,195.584000,19.392000,170.144012,97.568001
13,165.759995,193.664001,19.872000,173.343994,123.712006
14,140.255997,215.488007,19.648001,167.904007,98.720001
15,143.391998,179.231995,19.231998,161.791992,99.104004
16,143.680008,173.024002,19.552000,154.080002,98.431999
17,170.559998,196.927994,19.840000,166.623993,110.655998
18,140.768005,182.367996,19.455999,170.496002,99.423996
19,141.824005,175.295990,19.552000,162.175995,100.288002
20,160.799988,188.800003,19.616001,165.375992,105.823997
21,142.879990,195.807999,19.327999,212.863998,123.807999
22,147.391998,188.511993,19.584000,168.320007,99.936005
23,145.408005,180.928009,19.584000,169.503998,99.327995
24,152.416000,182.367996,19.487999,167.455994,98.879997
25,168.447998,202.528000,19.904001,174.976013,113.599998
26,164.703995,196.608002,19.552000,167.232010,108.863998
27,141.983994,178.496002,19.743999,162.944000,116.127998
28,142.335999,178.496002,19.392000,161.568008,98.559998
29,145.951996,178.016006,19.487999,164.160004,100.832001
30,169.664001,193.888000,19.680000,170.240005,108.704002
31,208.479996,247.104004,20.480000,201.888000,135.839996
32,168.192001,196.927994,19.775999,172.447998,111.008003
33,188.416000,227.679993,20.384001,188.576004,124.063995
34,142.591995,191.903992,19.487999,177.983994,98.655998
35,144.991989,183.360001,19.392000,168.320007,99.936005
36,143.040009,179.839996,19.552000,164.447998,97.919998
37,163.455994,196.927994,20.703999,196.255997,133.119995
38,169.760010,204.703995,19.936001,173.792007,115.071999
39,162.208008,185.791992,19.808001,164.575989,105.568001
40,142.624008,189.567993,19.584000,172.671997,99.615997
41,163.936005,200.928009,19.872000,170.080002,113.279999
42,157.600006,188.160004,19.616001,166.143997,105.152000
43,143.520004,174.208008,19.392000,159.391998,96.896004
44,163.039993,193.984009,19.680000,166.591995,106.880005
45,142.464005,178.880005,19.392000,160.607986,99.551994
46,162.655991,194.688004,19.743999,173.727997,169.311996
47,160.895996,215.807999,19.872000,171.839996,109.248001
48,157.919998,192.416000,19.296000,165.343994,104.447998
49,142.079987,174.464005,19.296000,154.367996,97.727997
50,161.056000,190.528000,19.552000,164.736008,106.208000
